time,idle_node,busy_node,full_node,idle_gpu,busy_gpu,pending_job,running_job,completed_job
200014,0,0,0,0,0,6749,106,3144
200024,0,0,0,0,0,6748,106,3145
200030,0,0,0,0,0,6747,106,3146
200056,0,0,0,0,0,6746,106,3147
200095,0,0,0,0,0,6745,106,3148
200102,0,0,0,0,0,6744,106,3149
200105,0,0,0,0,0,6743,106,3150
200185,0,0,0,0,0,6742,106,3151
200193,0,0,0,0,0,6741,106,3152
200196,0,0,0,0,0,6740,106,3153
200315,0,0,0,0,0,6739,106,3154
200372,0,0,0,0,0,6738,106,3155
200459,0,0,0,0,0,6737,106,3156
200480,0,0,0,0,0,6735,107,3157
200512,0,0,0,0,0,6734,107,3158
200547,0,0,0,0,0,6733,107,3159
200561,0,0,0,0,0,6732,107,3160
200566,0,0,0,0,0,6731,107,3161
200583,0,0,0,0,0,6730,107,3162
200719,0,0,0,0,0,6729,107,3163
200720,0,0,0,0,0,6728,107,3164
200722,0,0,0,0,0,6727,107,3165
200783,0,0,0,0,0,6726,107,3166
200791,0,0,0,0,0,6725,107,3167
200802,0,0,0,0,0,6724,107,3168
200818,0,0,0,0,0,6723,107,3169
200845,0,0,0,0,0,6722,107,3170
200886,0,0,0,0,0,6722,106,3171
200896,0,0,0,0,0,6721,106,3172
200915,0,0,0,0,0,6720,106,3173
200922,0,0,0,0,0,6718,107,3174
200980,0,0,0,0,0,6717,107,3175
200985,0,0,0,0,0,6716,107,3176
201000,0,0,0,0,0,6715,107,3177
201011,0,0,0,0,0,6714,107,3178
201076,0,0,0,0,0,6713,107,3179
201120,0,0,0,0,0,6712,107,3180
201246,0,0,0,0,0,6711,107,3181
201268,0,0,0,0,0,6710,107,3182
201364,0,0,0,0,0,6709,107,3183
201451,0,0,0,0,0,6708,107,3184
201566,0,0,0,0,0,6707,107,3185
201611,0,0,0,0,0,6706,107,3186
201687,0,0,0,0,0,6705,107,3187
201756,0,0,0,0,0,6704,107,3188
201763,0,0,0,0,0,6703,107,3189
201771,0,0,0,0,0,6702,107,3190
201774,0,0,0,0,0,6701,107,3191
201816,0,0,0,0,0,6700,107,3192
201834,0,0,0,0,0,6699,107,3193
201844,0,0,0,0,0,6698,107,3194
201852,0,0,0,0,0,6697,107,3195
201856,0,0,0,0,0,6696,107,3196
201862,0,0,0,0,0,6695,107,3197
201894,0,0,0,0,0,6694,107,3198
201910,0,0,0,0,0,6693,107,3199
201925,0,0,0,0,0,6692,107,3200
201944,0,0,0,0,0,6691,107,3201
201966,0,0,0,0,0,6690,107,3202
201980,0,0,0,0,0,6689,107,3203
201993,0,0,0,0,0,6688,107,3204
202005,0,0,0,0,0,6687,107,3205
202081,0,0,0,0,0,6686,107,3206
202098,0,0,0,0,0,6685,107,3207
202113,0,0,0,0,0,6684,107,3208
202163,0,0,0,0,0,6683,107,3209
202216,0,0,0,0,0,6681,108,3210
202218,0,0,0,0,0,6680,108,3211
202219,0,0,0,0,0,6679,108,3212
202239,0,0,0,0,0,6678,108,3213
202253,0,0,0,0,0,6677,108,3214
202259,0,0,0,0,0,6676,108,3215
202275,0,0,0,0,0,6675,108,3216
202293,0,0,0,0,0,6674,108,3217
202299,0,0,0,0,0,6673,108,3218
202310,0,0,0,0,0,6672,108,3219
202387,0,0,0,0,0,6671,108,3220
202403,0,0,0,0,0,6670,108,3221
202466,0,0,0,0,0,6669,108,3222
202486,0,0,0,0,0,6668,108,3223
202495,0,0,0,0,0,6667,108,3224
202497,0,0,0,0,0,6666,108,3225
202510,0,0,0,0,0,6665,108,3226
202546,0,0,0,0,0,6664,108,3227
202565,0,0,0,0,0,6663,108,3228
202589,0,0,0,0,0,6662,108,3229
202646,0,0,0,0,0,6660,109,3230
202672,0,0,0,0,0,6659,109,3231
202745,0,0,0,0,0,6658,109,3232
202860,0,0,0,0,0,6657,109,3233
202877,0,0,0,0,0,6656,109,3234
202894,0,0,0,0,0,6656,108,3235
202913,0,0,0,0,0,6654,109,3236
202926,0,0,0,0,0,6653,109,3237
202951,0,0,0,0,0,6652,109,3238
203002,0,0,0,0,0,6651,109,3239
203034,0,0,0,0,0,6650,109,3240
203093,0,0,0,0,0,6648,110,3241
203190,0,0,0,0,0,6647,110,3242
203218,0,0,0,0,0,6645,110,3244
203347,0,0,0,0,0,6644,110,3245
203353,0,0,0,0,0,6643,110,3246
203419,0,0,0,0,0,6642,110,3247
203429,0,0,0,0,0,6641,110,3248
203468,0,0,0,0,0,6640,110,3249
203590,0,0,0,0,0,6639,110,3250
203634,0,0,0,0,0,6638,110,3251
203649,0,0,0,0,0,6637,110,3252
203773,0,0,0,0,0,6636,110,3253
203778,0,0,0,0,0,6635,110,3254
203946,0,0,0,0,0,6634,110,3255
204021,0,0,0,0,0,6633,110,3256
204027,0,0,0,0,0,6632,110,3257
204044,0,0,0,0,0,6631,110,3258
204052,0,0,0,0,0,6630,110,3259
204089,0,0,0,0,0,6629,110,3260
204090,0,0,0,0,0,6628,110,3261
204091,0,0,0,0,0,6627,110,3262
204109,0,0,0,0,0,6626,110,3263
204112,0,0,0,0,0,6625,110,3264
204117,0,0,0,0,0,6624,110,3265
204138,0,0,0,0,0,6623,110,3266
204147,0,0,0,0,0,6622,110,3267
204149,0,0,0,0,0,6621,110,3268
204183,0,0,0,0,0,6620,110,3269
204199,0,0,0,0,0,6619,110,3270
204229,0,0,0,0,0,6618,110,3271
204242,0,0,0,0,0,6617,110,3272
204260,0,0,0,0,0,6616,110,3273
204282,0,0,0,0,0,6615,110,3274
204285,0,0,0,0,0,6614,110,3275
204286,0,0,0,0,0,6613,110,3276
204312,0,0,0,0,0,6612,110,3277
204363,0,0,0,0,0,6611,110,3278
204372,0,0,0,0,0,6610,110,3279
204376,0,0,0,0,0,6609,110,3280
204378,0,0,0,0,0,6608,110,3281
204381,0,0,0,0,0,6607,110,3282
204388,0,0,0,0,0,6606,110,3283
204398,0,0,0,0,0,6605,110,3284
204426,0,0,0,0,0,6604,110,3285
204449,0,0,0,0,0,6603,110,3286
204451,0,0,0,0,0,6602,110,3287
204452,0,0,0,0,0,6601,110,3288
204453,0,0,0,0,0,6600,110,3289
204455,0,0,0,0,0,6599,110,3290
204463,0,0,0,0,0,6598,110,3291
204466,0,0,0,0,0,6604,103,3292
204513,0,0,0,0,0,6603,103,3293
204539,0,0,0,0,0,6602,103,3294
204541,0,0,0,0,0,6601,103,3295
204552,0,0,0,0,0,6600,103,3296
204571,0,0,0,0,0,6599,103,3297
204578,0,0,0,0,0,6598,103,3298
204592,0,0,0,0,0,6597,103,3299
204601,0,0,0,0,0,6596,103,3300
204608,0,0,0,0,0,6595,103,3301
204641,0,0,0,0,0,6594,103,3302
204645,0,0,0,0,0,6593,103,3303
204649,0,0,0,0,0,6592,103,3304
204701,0,0,0,0,0,6591,103,3305
204733,0,0,0,0,0,6583,110,3306
204761,0,0,0,0,0,6582,110,3307
204762,0,0,0,0,0,6581,110,3308
204797,0,0,0,0,0,6580,110,3309
204802,0,0,0,0,0,6579,110,3310
204803,0,0,0,0,0,6580,107,3312
204807,0,0,0,0,0,6579,107,3313
204823,0,0,0,0,0,6578,107,3314
204867,0,0,0,0,0,6577,107,3315
204869,0,0,0,0,0,6576,107,3316
204874,0,0,0,0,0,6575,107,3317
204877,0,0,0,0,0,6574,107,3318
204884,0,0,0,0,0,6573,107,3319
204891,0,0,0,0,0,6572,107,3320
204899,0,0,0,0,0,6571,107,3321
204908,0,0,0,0,0,6570,107,3322
204918,0,0,0,0,0,6569,107,3323
204928,0,0,0,0,0,6568,107,3324
204935,0,0,0,0,0,6567,107,3325
204980,0,0,0,0,0,6566,107,3326
204988,0,0,0,0,0,6565,107,3327
205028,0,0,0,0,0,6564,107,3328
205087,0,0,0,0,0,6563,107,3329
205112,0,0,0,0,0,6561,107,3331
205120,0,0,0,0,0,6560,107,3332
205129,0,0,0,0,0,6559,107,3333
205213,0,0,0,0,0,6558,107,3334
205320,0,0,0,0,0,6557,107,3335
205328,0,0,0,0,0,6556,107,3336
205370,0,0,0,0,0,6555,107,3337
205413,0,0,0,0,0,6554,107,3338
205554,0,0,0,0,0,6553,107,3339
205580,0,0,0,0,0,6552,107,3340
205792,0,0,0,0,0,6551,107,3341
205813,0,0,0,0,0,6550,107,3342
205829,0,0,0,0,0,6549,107,3343
205847,0,0,0,0,0,6548,107,3344
205906,0,0,0,0,0,6547,107,3345
205912,0,0,0,0,0,6546,107,3346
205990,0,0,0,0,0,6545,107,3347
206055,0,0,0,0,0,6544,107,3348
206176,0,0,0,0,0,6543,107,3349
206230,0,0,0,0,0,6542,107,3350
206246,0,0,0,0,0,6541,107,3351
206292,0,0,0,0,0,6540,107,3352
206307,0,0,0,0,0,6539,107,3353
206333,0,0,0,0,0,6538,107,3354
206373,0,0,0,0,0,6537,107,3355
206375,0,0,0,0,0,6536,107,3356
206388,0,0,0,0,0,6535,107,3357
206394,0,0,0,0,0,6533,107,3359
206423,0,0,0,0,0,6532,107,3360
206439,0,0,0,0,0,6531,107,3361
206458,0,0,0,0,0,6530,107,3362
206462,0,0,0,0,0,6529,107,3363
206463,0,0,0,0,0,6528,107,3364
206468,0,0,0,0,0,6527,107,3365
206473,0,0,0,0,0,6526,107,3366
206474,0,0,0,0,0,6525,107,3367
206516,0,0,0,0,0,6524,107,3368
206519,0,0,0,0,0,6523,107,3369
206522,0,0,0,0,0,6522,107,3370
206535,0,0,0,0,0,6521,107,3371
206547,0,0,0,0,0,6513,114,3372
206556,0,0,0,0,0,6512,114,3373
206561,0,0,0,0,0,6511,114,3374
206565,0,0,0,0,0,6510,114,3375
206567,0,0,0,0,0,6508,114,3377
206617,0,0,0,0,0,6507,114,3378
206628,0,0,0,0,0,6506,114,3379
206629,0,0,0,0,0,6505,114,3380
206634,0,0,0,0,0,6504,114,3381
206650,0,0,0,0,0,6503,114,3382
206657,0,0,0,0,0,6502,114,3383
206691,0,0,0,0,0,6501,114,3384
206726,0,0,0,0,0,6499,115,3385
206956,0,0,0,0,0,6498,115,3386
207023,0,0,0,0,0,6497,115,3387
207070,0,0,0,0,0,6496,115,3388
207087,0,0,0,0,0,6495,115,3389
207120,0,0,0,0,0,6494,115,3390
207162,0,0,0,0,0,6493,115,3391
207175,0,0,0,0,0,6492,115,3392
207268,0,0,0,0,0,6491,115,3393
207294,0,0,0,0,0,6490,115,3394
207760,0,0,0,0,0,6489,115,3395
207793,0,0,0,0,0,6488,115,3396
207982,0,0,0,0,0,6487,115,3397
208193,0,0,0,0,0,6486,115,3398
208299,0,0,0,0,0,6485,115,3399
208323,0,0,0,0,0,6484,115,3400
208464,0,0,0,0,0,6483,115,3401
208566,0,0,0,0,0,6482,115,3402
208597,0,0,0,0,0,6481,115,3403
208607,0,0,0,0,0,6480,115,3404
208642,0,0,0,0,0,6479,115,3405
208650,0,0,0,0,0,6478,115,3406
208670,0,0,0,0,0,6477,115,3407
208692,0,0,0,0,0,6476,115,3408
208694,0,0,0,0,0,6475,115,3409
208695,0,0,0,0,0,6474,115,3410
208733,0,0,0,0,0,6473,115,3411
208952,0,0,0,0,0,6472,115,3412
209124,0,0,0,0,0,6471,115,3413
209127,0,0,0,0,0,6470,115,3414
209130,0,0,0,0,0,6469,115,3415
209189,0,0,0,0,0,6468,115,3416
209190,0,0,0,0,0,6467,115,3417
209205,0,0,0,0,0,6466,115,3418
209217,0,0,0,0,0,6465,115,3419
209277,0,0,0,0,0,6464,115,3420
209390,0,0,0,0,0,6463,115,3421
209716,0,0,0,0,0,6462,115,3422
209764,0,0,0,0,0,6461,115,3423
209857,0,0,0,0,0,6460,115,3424
209912,0,0,0,0,0,6459,115,3425
209969,0,0,0,0,0,6458,115,3426
210003,0,0,0,0,0,6457,115,3427
210007,0,0,0,0,0,6456,115,3428
210128,0,0,0,0,0,6455,115,3429
210151,0,0,0,0,0,6454,115,3430
210257,0,0,0,0,0,6453,115,3431
210303,0,0,0,0,0,6452,115,3432
210482,0,0,0,0,0,6451,115,3433
210530,0,0,0,0,0,6450,115,3434
210598,0,0,0,0,0,6449,115,3435
210617,0,0,0,0,0,6448,115,3436
210634,0,0,0,0,0,6447,115,3437
210676,0,0,0,0,0,6446,115,3438
210706,0,0,0,0,0,6445,115,3439
210723,0,0,0,0,0,6444,115,3440
210742,0,0,0,0,0,6443,115,3441
210752,0,0,0,0,0,6442,115,3442
210777,0,0,0,0,0,6441,115,3443
210793,0,0,0,0,0,6440,115,3444
210818,0,0,0,0,0,6439,115,3445
211027,0,0,0,0,0,6438,115,3446
211091,0,0,0,0,0,6437,115,3447
211149,0,0,0,0,0,6436,115,3448
211198,0,0,0,0,0,6435,115,3449
211234,0,0,0,0,0,6434,115,3450
211242,0,0,0,0,0,6433,115,3451
211298,0,0,0,0,0,6432,115,3452
211331,0,0,0,0,0,6431,115,3453
211421,0,0,0,0,0,6430,115,3454
211660,0,0,0,0,0,6429,115,3455
211793,0,0,0,0,0,6428,115,3456
211908,0,0,0,0,0,6427,115,3457
211916,0,0,0,0,0,6426,115,3458
211957,0,0,0,0,0,6425,115,3459
212057,0,0,0,0,0,6424,115,3460
212064,0,0,0,0,0,6423,115,3461
212068,0,0,0,0,0,6422,115,3462
212089,0,0,0,0,0,6421,115,3463
212225,0,0,0,0,0,6420,115,3464
212234,0,0,0,0,0,6419,115,3465
212237,0,0,0,0,0,6418,115,3466
212354,0,0,0,0,0,6417,115,3467
212563,0,0,0,0,0,6416,115,3468
212583,0,0,0,0,0,6415,115,3469
212630,0,0,0,0,0,6414,115,3470
212687,0,0,0,0,0,6413,115,3471
212710,0,0,0,0,0,6412,115,3472
212753,0,0,0,0,0,6411,115,3473
212761,0,0,0,0,0,6410,115,3474
212772,0,0,0,0,0,6409,115,3475
212815,0,0,0,0,0,6408,115,3476
212824,0,0,0,0,0,6407,115,3477
212841,0,0,0,0,0,6406,115,3478
212893,0,0,0,0,0,6405,115,3479
213065,0,0,0,0,0,6404,115,3480
213069,0,0,0,0,0,6403,115,3481
213138,0,0,0,0,0,6402,115,3482
213194,0,0,0,0,0,6401,115,3483
213256,0,0,0,0,0,6400,115,3484
213271,0,0,0,0,0,6399,115,3485
213272,0,0,0,0,0,6398,115,3486
213311,0,0,0,0,0,6397,115,3487
213367,0,0,0,0,0,6396,115,3488
213666,0,0,0,0,0,6395,115,3489
213728,0,0,0,0,0,6394,115,3490
213927,0,0,0,0,0,6393,115,3491
213953,0,0,0,0,0,6392,115,3492
214085,0,0,0,0,0,6391,115,3493
214087,0,0,0,0,0,6390,115,3494
214090,0,0,0,0,0,6389,115,3495
214092,0,0,0,0,0,6388,115,3496
